Buchung;Valuta;Buchungstext;Belastung;Gutschrift;Saldo (CHF)
16.08.2024;14.08.2024;"Warenbezug/Dienstleistung / 1676244855 Bezugsort: Migros MM ";1.90;;222.79
15.08.2024;15.08.2024;"Gutschrift / 1676610145 Im Auftrag von Mauch Cyrus B., Sempa";;83.00;224.69
15.08.2024;13.08.2024;"Warenbezug/Dienstleistung / 1675711103 Bezugsort: Coop-3705 ";11.80;;141.69
14.08.2024;12.08.2024;"Warenbezug/Dienstleistung / 1675486913 Bezugsort: Migros MR ";3.00;;153.49
14.08.2024;13.08.2024;"TWINT Belastung / 1675926900 TANNALP GASTRO, MELCHSEE-FRUTT ";6.00;;156.49
13.08.2024;13.08.2024;"TWINT Überweisung / 1675860807 Homie Bm 13.08.24 / 13:47:28 H";6.00;;162.49
13.08.2024;13.08.2024;"TWINT Gutschrift / 1675773597 Mauch Gabriele +41765533663 13";;20.00;168.49
13.08.2024;11.08.2024;"Warenbezug/Dienstleistung / 1675199361 Bezugsort: Restaurant";6.00;;148.49
12.08.2024;10.08.2024;"Warenbezug/Dienstleistung / 1675042133 Bezugsort: Migros M S";1.90;;154.49
12.08.2024;07.08.2024;"Warenbez./Dienstleist. Ausl. / 1673963299 Bezugsort: PAYPAL ";1.00;;156.39
09.08.2024;05.08.2024;"Warenbez./Dienstleist. Ausl. / 1673127413 Bezugsort: PAYPAL ";3.65;;157.39
08.08.2024;04.08.2024;"Warenbez./Dienstleist. Ausl. / 1672754448 Bezugsort: PAYPAL ";14.99;;161.04
08.08.2024;06.08.2024;"Warenbez./Dienstleist. Ausl. / 1673506592 Bezugsort: AMZN Mk";35.59;;176.03
07.08.2024;07.08.2024;"Vergütung / 1673580417 MOTOLINO GmbH     Schweiz";10398.00;;211.62
06.08.2024;06.08.2024;"Gutschrift / 1673334126 BALOISE VERSICHERUNG AG AESCHENGRABE";;2028.00;10609.62
05.08.2024;05.08.2024;"Gutschrift / 1672926582 Im Auftrag von Mauch Gabriele, Sempa";;100.00;8581.62
05.08.2024;05.08.2024;"Gutschrift / 1672894657 Auto Zentrum AG Bucherstrasse 12 955";;972.00;8481.62
05.08.2024;04.08.2024;"TWINT Gutschrift / 1672754394 Mauch Gabriele +41765533663 04";;8.00;7509.62
05.08.2024;02.08.2024;"Warenbezug/Dienstleistung / 1672283588 Bezugsort: Aldi Suiss";3.55;;7501.62
05.08.2024;02.08.2024;"Warenbezug/Dienstleistung / 1672385294 Bezugsort: Aldi Suiss";3.25;;7505.17
05.08.2024;01.08.2024;"Warenbezug/Dienstleistung / 1671869028 Bezugsort: FP Luzern ";2.75;;7508.42
02.08.2024;31.07.2024;"Warenbezug/Dienstleistung / 1671138277 Bezugsort: Aldi Suiss";1.75;;7511.17
01.08.2024;30.07.2024;"Warenbezug/Dienstleistung / 1670526757 Bezugsort: Aldi Suiss";0.55;;7512.92
31.07.2024;29.07.2024;"Warenbezug/Dienstleistung / 1669815888 Bezugsort: Aldi Suiss";2.40;;7513.47
29.07.2024;27.07.2024;"Warenbezug/Dienstleistung / 1669295598 Bezugsort: Aldi Suiss";1.85;;7515.87
29.07.2024;27.07.2024;"Warenbezug/Dienstleistung / 1669319929 Bezugsort: Migros M S";3.80;;7517.72
29.07.2024;26.07.2024;"Warenbezug/Dienstleistung / 1669015414 Bezugsort: Aldi Suiss";3.75;;7521.52
29.07.2024;25.07.2024;"Warenbezug/Dienstleistung / 1668378280 Bezugsort: Aldi Suiss";7.00;;7525.27
29.07.2024;25.07.2024;"Warenbezug/Dienstleistung / 1668411948 Bezugsort: Aldi Suiss";0.55;;7532.27
29.07.2024;25.07.2024;"Warenbezug/Dienstleistung / 1668445806 Bezugsort: Aldi Suiss";0.45;;7532.82
26.07.2024;26.07.2024;"TWINT Belastung / 1669215118 KON THAI SHOP, MOOSLEERAU 26.07";5.00;;7533.27
26.07.2024;24.07.2024;"Warenbezug/Dienstleistung / 1667723556 Bezugsort: Aldi Suiss";3.40;;7538.27
25.07.2024;25.07.2024;"Gutschrift / 1668185651 STRIPE PAYMENTS UK LTD 9TH FLOOR, 10";;54.45;7541.67
25.07.2024;25.07.2024;"Gutschrift / 1668127743 ALDI SUISSE AG Niederstettenstrasse ";;3527.00;7487.22
25.07.2024;23.07.2024;"Warenbezug/Dienstleistung / 1667288236 Bezugsort: Aldi Suiss";0.55;;3960.22
24.07.2024;21.07.2024;"Warenbezug/Dienstleistung / 1666647401 Bezugsort: Lurag Luze";1.00;;3960.77
24.07.2024;22.07.2024;"Warenbezug/Dienstleistung / 1666975041 Bezugsort: Aldi Suiss";5.65;;3961.77
22.07.2024;20.07.2024;"Warenbezug/Dienstleistung / 1666173762 Bezugsort: Aldi Suiss";2.25;;3967.42
22.07.2024;21.07.2024;"TWINT Gutschrift / 1666597712 Mauch Gabriele +41765533663 21";;20.00;3969.67
22.07.2024;19.07.2024;"Warenbezug/Dienstleistung / 1665872852 Bezugsort: Aldi Suiss";5.55;;3949.67
22.07.2024;19.07.2024;"Warenbezug/Dienstleistung / 1665964735 Bezugsort: Aldi Suiss";13.80;;3955.22
22.07.2024;18.07.2024;"Warenbezug/Dienstleistung / 1665467411 Bezugsort: Aldi Suiss";3.65;;3969.02
19.07.2024;17.07.2024;"Warenbezug/Dienstleistung / 1665078609 Bezugsort: Aldi Suiss";5.70;;3972.67
19.07.2024;17.07.2024;"Warenbezug/Dienstleistung / 1664961099 Bezugsort: Aldi Suiss";4.30;;3978.37
